"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aurora","Top",4,"2.0%","7.8%","28.9%","25%","75%",14,14,10,1.7,"58.5%","16.5%","0%",199,156,5.8,8.5,"23.6%",807,"30.6%","21.4%",0.37,0.26
"Azir","Middle",33,"16.2%","28.4%","44.6%","52%","33%",122,105,175,2.8,"58.1%","19.2%","6%",-196,-116,-3.1,9.4,"26.5%",783,"26.4%","22.1%",0.44,0.28
"Bard","Support",50,"24.5%","40.7%","65.2%","60%","36%",55,157,539,3.8,"80.7%","21.8%","32%",3,34,-0.8,1.1,"2.8%",241,"8.8%","10.8%",2.05,0.66
"Blitzcrank","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",2,"1.0%","0.0%","1.0%","100%","100%",1,5,25,5.2,"66.7%","25.0%","0%",5,-138,-1,1,"1.7%",161,"5.0%","9.4%",2.09,0.43
"Caitlyn","ADC",44,"21.6%","23.5%","45.1%","57%","43%",177,131,238,3.2,"64.0%","20.2%","16%",223,75,6.9,10.4,"31.7%",762,"26.7%","27.7%",0.47,0.42
"Camille","Support",3,"1.5%","0.0%","1.5%","67%","100%",10,15,24,2.3,"58.6%","35.7%","100%",363,-258,1.7,1.4,"4.0%",351,"12.1%","12.6%",2.16,0.73
"Cassiopeia","Middle",23,"11.3%","23.5%","34.8%","52%","48%",89,72,126,3,"62.7%","20.8%","22%",160,120,6.5,8.8,"23.8%",699,"24.3%","21.6%",0.46,0.16
"Corki","ADC",23,"11.3%","5.4%","16.7%","39%","83%",93,63,104,3.1,"66.6%","16.9%","17%",-194,-104,-3.7,10,"32.6%",744,"29.0%","27.9%",0.43,0.31
"Dr. Mundo","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",2,3,6,2.7,"88.9%","15.0%","0%",125,651,13,6.7,"17.3%",708,"23.3%","19.5%",0.29,0.59
"Draven","ADC",1,"0.5%","0.0%","0.5%","0%","100%",1,5,3,0.8,"57.1%","27.8%","0%",-2153,-611,-7,9.9,"34.8%",572,"23.8%","28.1%",0.44,0.34
"Elise","Support",5,"2.5%","1.5%","3.9%","40%","80%",14,22,44,2.6,"58.0%","26.8%","40%",173,-194,1.6,1.3,"3.6%",395,"11.9%","11.4%",2.32,0.72
"Ezreal","ADC",60,"29.4%","22.1%","51.5%","37%","25%",240,150,267,3.4,"64.3%","15.6%","27%",12,133,3.4,10.2,"31.2%",821,"30.2%","27.7%",0.41,0.29
"Galio","Middle",7,"3.4%","3.9%","8.8%","43%","100%",15,22,48,2.9,"73.3%","23.9%","29%",-351,-259,-9.6,8.5,"23.1%",416,"17.8%","20.1%",0.39,0.25
"Galio","Top",3,"1.5%","3.9%","8.8%","67%","100%",4,9,27,3.4,"52.5%","23.7%","33%",-107,-125,-8.7,8.6,"22.7%",485,"16.9%","17.1%",0.36,0.22
"Gnar","Top",55,"27.0%","11.3%","38.2%","65%","36%",118,135,286,3,"48.7%","19.7%","18%",-9,10,-0.3,8.8,"24.5%",640,"23.1%","20.6%",0.47,0.23
"Gragas","Top",1,"0.5%","0.0%","0.5%","0%","100%",1,4,4,1.3,"50.0%","21.1%","0%",38,-175,-9,7.4,"21.4%",372,"18.4%","16.6%",0.6,0.17
"Gwen","Top",4,"2.0%","2.9%","4.9%","0%","100%",11,14,8,1.4,"52.8%","15.4%","0%",218,96,4.3,8.9,"26.0%",1008,"33.5%","24.3%",0.34,0.26
"Hwei","Middle",5,"2.5%","1.0%","3.4%","60%","100%",19,18,52,3.9,"66.4%","19.1%","20%",-190,-66,-2.4,8.1,"23.5%",723,"23.2%","19.7%",0.48,0.13
"Illaoi","Top",2,"1.0%","0.0%","1.0%","100%","100%",6,6,5,1.8,"39.3%","46.2%","0%",-246,-274,-7.5,9.8,"26.9%",767,"28.3%","19.6%",0.59,0.09
